"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"01.01.2002","3,764","3,764","3,764","3,764","-17,18%"
"01.02.2002","3,699","3,699","3,699","3,699","-1,73%"
"01.03.2002","4,069","4,069","4,069","4,069","10,00%"
"01.04.2002","3,817","3,817","3,817","3,817","-6,19%"
"01.05.2002","4,009","4,009","4,009","4,009","5,03%"
"01.06.2002","3,676","3,676","3,676","3,676","-8,31%"
"01.07.2002","3,664","3,664","3,664","3,664","-0,33%"
"01.08.2002","3,463","3,463","3,463","3,463","-5,49%"
"01.09.2002","3,035","3,035","3,035","3,035","-12,36%"
"01.10.2002","3,053","3,053","3,053","3,053","0,59%"
"01.11.2002","3,058","3,058","3,058","3,058","0,16%"
"01.12.2002","2,617","2,617","2,617","2,617","-14,42%"
"01.01.2003","2,518","2,518","2,518","2,518","-3,78%"
"01.02.2003","2,272","2,272","2,272","2,272","-9,77%"
"01.03.2003","2,346","2,346","2,346","2,346","3,26%"
"01.04.2003","2,555","2,555","2,555","2,555","8,91%"
"01.05.2003","2,202","2,202","2,202","2,202","-13,82%"
"01.06.2003","2,133","2,133","2,133","2,133","-3,13%"
"01.07.2003","2,435","2,435","2,435","2,435","14,16%"
"01.08.2003","2,606","2,606","2,606","2,606","7,02%"
"01.09.2003","2,244","2,244","2,244","2,244","-13,89%"
"01.10.2003","2,594","2,594","2,594","2,594","15,60%"
"01.11.2003","2,726","2,726","2,726","2,726","5,09%"
"01.12.2003","2,446","2,446","2,446","2,446","-10,27%"
"01.01.2004","2,364","2,364","2,364","2,364","-3,35%"
"01.02.2004","2,100","2,100","2,100","2,100","-11,17%"
"01.03.2004","1,989","1,989","1,989","1,989","-5,29%"
"01.04.2004","2,418","2,418","2,418","2,418","21,57%"
"01.05.2004","2,578","2,578","2,578","2,578","6,62%"
"01.06.2004","2,849","2,849","2,849","2,849","10,51%"
"01.07.2004","2,752","2,752","2,752","2,752","-3,40%"
"01.08.2004","2,540","2,540","2,540","2,540","-7,70%"
"01.09.2004","2,598","2,598","2,598","2,598","2,28%"
"01.10.2004","2,444","2,444","2,444","2,444","-5,93%"
"01.11.2004","2,367","2,367","2,367","2,367","-3,15%"
"01.12.2004","2,452","2,452","2,452","2,452","3,59%"
"01.01.2005","2,378","2,378","2,378","2,378","-3,02%"
"01.02.2005","2,457","2,457","2,457","2,457","3,32%"
"01.03.2005","2,398","2,398","2,398","2,398","-2,40%"
"01.04.2005","2,177","2,177","2,177","2,177","-9,22%"
"01.05.2005","2,053","2,053","2,053","2,053","-5,70%"
"01.06.2005","1,956","1,956","1,956","1,956","-4,72%"
"01.07.2005","2,141","2,141","2,141","2,141","9,46%"
"01.08.2005","2,108","2,108","2,108","2,108","-1,54%"
"01.09.2005","2,228","2,228","2,228","2,228","5,69%"
"01.10.2005","2,447","2,447","2,447","2,447","9,83%"
"01.11.2005","2,632","2,632","2,632","2,632","7,56%"
"01.12.2005","2,654","2,654","2,654","2,654","0,84%"
"01.01.2006","2,895","2,895","2,895","2,895","9,08%"
"01.02.2006","2,963","2,963","2,963","2,963","2,35%"
"01.03.2006","3,228","3,228","3,228","3,228","8,94%"
"01.04.2006","3,230","3,230","3,230","3,230","0,06%"
"01.05.2006","3,282","3,282","3,282","3,282","1,61%"
"01.06.2006","3,399","3,399","3,399","3,399","3,56%"
"01.07.2006","3,407","3,407","3,407","3,407","0,24%"
"01.08.2006","3,505","3,505","3,505","3,505","2,88%"
"01.09.2006","3,580","3,580","3,580","3,580","2,14%"
"01.10.2006","3,656","3,656","3,656","3,656","2,12%"
"01.11.2006","3,694","3,694","3,694","3,694","1,04%"
"01.12.2006","3,832","3,832","3,832","3,832","3,74%"
"01.01.2007","3,834","3,834","3,834","3,834","0,05%"
"01.02.2007","3,916","3,916","3,916","3,916","2,14%"
"01.03.2007","3,948","3,948","3,948","3,948","0,82%"
"01.04.2007","3,999","3,999","3,999","3,999","1,29%"
"01.05.2007","4,109","4,109","4,109","4,109","2,75%"
"01.06.2007","4,204","4,204","4,204","4,204","2,31%"
"01.07.2007","4,330","4,330","4,330","4,330","3,00%"
"01.08.2007","4,075","4,075","4,075","4,075","-5,89%"
"01.09.2007","4,072","4,072","4,072","4,072","-0,07%"
"01.10.2007","4,153","4,153","4,153","4,153","1,99%"
"01.11.2007","3,912","3,912","3,912","3,912","-5,80%"
"01.12.2007","4,046","4,046","4,046","4,046","3,43%"
"01.01.2008","3,562","3,562","3,562","3,562","-11,96%"
"01.02.2008","3,253","3,253","3,253","3,253","-8,67%"
"01.03.2008","3,674","3,674","3,674","3,674","12,94%"
"01.04.2008","3,897","3,897","3,897","3,897","6,07%"
"01.05.2008","4,411","4,411","4,411","4,411","13,19%"
"01.06.2008","4,759","4,759","4,759","4,759","7,89%"
"01.07.2008","4,394","4,394","4,394","4,394","-7,67%"
"01.08.2008","4,269","4,269","4,269","4,269","-2,84%"
"01.09.2008","3,870","3,870","3,870","3,870","-9,35%"
"01.10.2008","3,088","3,088","3,088","3,088","-20,21%"
"01.11.2008","2,749","2,749","2,749","2,749","-10,98%"
"01.12.2008","2,221","2,221","2,221","2,221","-19,21%"
"01.01.2009","2,328","2,328","2,328","2,328","4,82%"
"01.02.2009","2,045","2,045","2,045","2,045","-12,16%"
"01.03.2009","1,778","1,778","1,778","1,778","-13,06%"
"01.04.2009","1,706","1,706","1,706","1,706","-4,05%"
"01.05.2009","1,573","1,573","1,573","1,573","-7,80%"
