CÓDIGO DE LA SERIE,D_1NBAS972,D_1NBAC972,D_1NBAD972,D_1NBAE972,D_1NBAF472,D_1NBAS572,D_1NBAC572,D_1NBAD572,D_1NBAE572,D_1NBAF572,D_1T9H0000,D_1T9H0010,D_1T9H0011,D_1T9H0004,D_1E723706.EUR,D_1T9L0001,D_1T9L0002,D_1T9L0008,D_1T9L0009,D_1T9VM001,D_1T9VM002,D_1T9VM003,D_1T9VM004,D_1T9H0011,D_1T9VM006,D_1T9VM007,D_1T9VM008,D_1T9VM009,D_1T9VM010,D_1TFECHABOE,D_1TFECHABOE2,D_1TFECHABOE4,D_1TFECHABOE3,D_1T9H0000,D_1T9H0000A,D_1T9H0000B,D_1T9H0000C
NÚMERO SECUENCIAL,3975591,3975587,3975588,3975589,587853,3984902,3984903,3984904,3984905,3984906,254828,2149971,2149972,254832,663721,254838,254839,474026,1159328,2149961,2149962,2149963,2149964,2149972,2149965,2149966,2149967,2149968,2149969,806583,806583,2416630,2416630,254828,4572600,4572601,4572602
ALIAS DE LA SERIE,BE_19_1.1,BE_19_1.2,BE_19_1.3,BE_19_1.4,BE_19_1.5,BE_19_1.6,BE_19_1.7,BE_19_1.8,BE_19_1.9,BE_19_1.10,BE_19_1.11,BE_19_1.12,BE_19_1.13,BE_19_1.14,BE_19_1.15,BE_19_1.16,BE_19_1.17,BE_19_1.18,BE_19_1.19,BE_19_1.20,BE_19_1.21,BE_19_1.22,BE_19_1.23,BE_19_1.24,BE_19_1.25,BE_19_1.26,BE_19_1.27,BE_19_1.28,BE_19_1.29,BE_19_1.30,BE_19_1.31,BE_19_1.32,BE_19_1.33,BE_19_1.34,BE_19_1.35,BE_19_1.36,BE_19_1.37
DESCRIPCIÓN DE LA SERIE,Tipos de interés. UEM. Mercados monetarios. Depósitos. A 1 semana. Euríbor. Tipo de referencia oficial del mercado hipotecario,Tipos de interés. UEM. Mercados monetarios. Depósitos. A 1 mes. Euríbor. Tipo de referencia oficial del mercado hipotecario,Tipos de interés. UEM. Mercados monetarios. Depósitos. A 3 meses. Euríbor. Tipo de referencia oficial del mercado hipotecario,Tipos de interés. UEM. Mercados monetarios. Depósitos. A 6 meses. Euríbor. Tipo de referencia oficial del mercado hipotecario,Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,Tipo de interés. UEM. Mercado monetario. ESTR,Tipo de interés. UEM. Mercado monetario. ESTR,Tipo de interés. UEM. Mercado monetario. ESTR,Tipo de interés. UEM. Mercado monetario. ESTR,Tipo de interés. UEM. Mercado monetario. ESTR,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Entre 1 y 5 años. Conjunto EC UEM,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Rendimiento interno Deuda Pública 2 a 6 años. Mercado secundario,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Interbancario. Mibor a 1 año,Tipo de interés. Tipos legales. Interés legal,Tipo de interés. Tipos legales. interés Ley enjuiciamiento civil,Tipo de interés. Tipos legales. Interés de demora a efectos tributarios,Tipo de interés. Tipos legales. Interés de demora en operaciones comerciales,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A un año,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A dos años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A tres años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A cuatro años,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. interest Rate Swap a 5 años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A siete años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A diez años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A quince años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A veinte años,Tipo de interés. De referencia. Préstamos hipotecarios para calcular el valor de mercado. IRS. A treinta años,Tipo de interés. De referencia. Mercado hipotecario. Interbancario.Fecha BOE,Tipo de interés. De referencia. Mercado hipotecario. Tipo medio préstamos hipotecarios.Fecha BOE,Tipo de interés. De referencia. Mercado hipotecario. Deuda Pública de 2 a 6 años.Fecha BOE,Tipo de interés. De referencia. Mercado hipotecario. Fecha BOE IRS,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Tipo medio adq. vivienda libre. Más de 3 años. Conjunto EC España,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Importe agregado de préstamos,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Número de operaciones,Tipo de interés. De referencia. Oficiales. Mercado hipotecario. Información adicional sobre préstamos el cálculo del IRPH. Entidades contribuidoras
DESCRIPCIÓN DE LAS UNIDADES,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Porcentaje,Fecha,Fecha,Fecha,Fecha,Porcentaje,Miles de euros,Operaciones,Entidades
FRECUENCIA,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL
ENE 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FEB 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUN 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUL 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEP 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCT 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NOV 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DIC 1973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENE 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FEB 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUN 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUL 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEP 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCT 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,4.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NOV 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DIC 1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENE 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FEB 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUN 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUL 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEP 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCT 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NOV 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DIC 1975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENE 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FEB 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAR 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABR 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MAY 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUN 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUL 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO 1976,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.000,-,7.0000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
