sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,synthetic
5.1,3.5,1.4,0.2,0,False
4.9,3.0,1.4,0.2,0,False
4.7,3.2,1.3,0.2,0,False
4.6,3.1,1.5,0.2,0,False
5.0,3.6,1.4,0.2,0,False
5.4,3.9,1.7,0.4,0,False
4.6,3.4,1.4,0.3,0,False
5.0,3.4,1.5,0.2,0,False
4.4,2.9,1.4,0.2,0,False
4.9,3.1,1.5,0.1,0,False
5.4,3.7,1.5,0.2,0,False
4.8,3.4,1.6,0.2,0,False
4.8,3.0,1.4,0.1,0,False
4.3,3.0,1.1,0.1,0,False
5.8,4.0,1.2,0.2,0,False
5.7,4.4,1.5,0.4,0,False
5.4,3.9,1.3,0.4,0,False
5.1,3.5,1.4,0.3,0,False
5.7,3.8,1.7,0.3,0,False
5.1,3.8,1.5,0.3,0,False
5.4,3.4,1.7,0.2,0,False
5.1,3.7,1.5,0.4,0,False
4.6,3.6,1.0,0.2,0,False
5.1,3.3,1.7,0.5,0,False
4.8,3.4,1.9,0.2,0,False
5.0,3.0,1.6,0.2,0,False
5.0,3.4,1.6,0.4,0,False
5.2,3.5,1.5,0.2,0,False
5.2,3.4,1.4,0.2,0,False
4.7,3.2,1.6,0.2,0,False
4.8,3.1,1.6,0.2,0,False
5.4,3.4,1.5,0.4,0,False
5.2,4.1,1.5,0.1,0,False
5.5,4.2,1.4,0.2,0,False
4.9,3.1,1.5,0.2,0,False
5.0,3.2,1.2,0.2,0,False
5.5,3.5,1.3,0.2,0,False
4.9,3.6,1.4,0.1,0,False
4.4,3.0,1.3,0.2,0,False
5.1,3.4,1.5,0.2,0,False
5.0,3.5,1.3,0.3,0,False
4.5,2.3,1.3,0.3,0,False
4.4,3.2,1.3,0.2,0,False
5.0,3.5,1.6,0.6,0,False
5.1,3.8,1.9,0.4,0,False
4.8,3.0,1.4,0.3,0,False
5.1,3.8,1.6,0.2,0,False
4.6,3.2,1.4,0.2,0,False
5.3,3.7,1.5,0.2,0,False
5.0,3.3,1.4,0.2,0,False
7.0,3.2,4.7,1.4,1,False
6.4,3.2,4.5,1.5,1,False
6.9,3.1,4.9,1.5,1,False
5.5,2.3,4.0,1.3,1,False
6.5,2.8,4.6,1.5,1,False
5.7,2.8,4.5,1.3,1,False
6.3,3.3,4.7,1.6,1,False
4.9,2.4,3.3,1.0,1,False
6.6,2.9,4.6,1.3,1,False
5.2,2.7,3.9,1.4,1,False
5.0,2.0,3.5,1.0,1,False
5.9,3.0,4.2,1.5,1,False
6.0,2.2,4.0,1.0,1,False
6.1,2.9,4.7,1.4,1,False
5.6,2.9,3.6,1.3,1,False
6.7,3.1,4.4,1.4,1,False
5.6,3.0,4.5,1.5,1,False
5.8,2.7,4.1,1.0,1,False
6.2,2.2,4.5,1.5,1,False
5.6,2.5,3.9,1.1,1,False
5.9,3.2,4.8,1.8,1,False
6.1,2.8,4.0,1.3,1,False
6.3,2.5,4.9,1.5,1,False
6.1,2.8,4.7,1.2,1,False
6.4,2.9,4.3,1.3,1,False
6.6,3.0,4.4,1.4,1,False
6.8,2.8,4.8,1.4,1,False
6.7,3.0,5.0,1.7,1,False
6.0,2.9,4.5,1.5,1,False
5.7,2.6,3.5,1.0,1,False
5.5,2.4,3.8,1.1,1,False
5.5,2.4,3.7,1.0,1,False
5.8,2.7,3.9,1.2,1,False
6.0,2.7,5.1,1.6,1,False
5.4,3.0,4.5,1.5,1,False
6.0,3.4,4.5,1.6,1,False
6.7,3.1,4.7,1.5,1,False
6.3,2.3,4.4,1.3,1,False
5.6,3.0,4.1,1.3,1,False
5.5,2.5,4.0,1.3,1,False
5.5,2.6,4.4,1.2,1,False
6.1,3.0,4.6,1.4,1,False
5.8,2.6,4.0,1.2,1,False
5.0,2.3,3.3,1.0,1,False
5.6,2.7,4.2,1.3,1,False
5.7,3.0,4.2,1.2,1,False
5.7,2.9,4.2,1.3,1,False
6.2,2.9,4.3,1.3,1,False
5.1,2.5,3.0,1.1,1,False
5.7,2.8,4.1,1.3,1,False
6.3,3.3,6.0,2.5,2,False
5.8,2.7,5.1,1.9,2,False
7.1,3.0,5.9,2.1,2,False
6.3,2.9,5.6,1.8,2,False
6.5,3.0,5.8,2.2,2,False
7.6,3.0,6.6,2.1,2,False
4.9,2.5,4.5,1.7,2,False
7.3,2.9,6.3,1.8,2,False
6.7,2.5,5.8,1.8,2,False
7.2,3.6,6.1,2.5,2,False
6.5,3.2,5.1,2.0,2,False
6.4,2.7,5.3,1.9,2,False
6.8,3.0,5.5,2.1,2,False
5.7,2.5,5.0,2.0,2,False
5.8,2.8,5.1,2.4,2,False
6.4,3.2,5.3,2.3,2,False
6.5,3.0,5.5,1.8,2,False
7.7,3.8,6.7,2.2,2,False
7.7,2.6,6.9,2.3,2,False
6.0,2.2,5.0,1.5,2,False
6.9,3.2,5.7,2.3,2,False
5.6,2.8,4.9,2.0,2,False
7.7,2.8,6.7,2.0,2,False
6.3,2.7,4.9,1.8,2,False
6.7,3.3,5.7,2.1,2,False
7.2,3.2,6.0,1.8,2,False
6.2,2.8,4.8,1.8,2,False
6.1,3.0,4.9,1.8,2,False
6.4,2.8,5.6,2.1,2,False
7.2,3.0,5.8,1.6,2,False
7.4,2.8,6.1,1.9,2,False
7.9,3.8,6.4,2.0,2,False
6.4,2.8,5.6,2.2,2,False
6.3,2.8,5.1,1.5,2,False
6.1,2.6,5.6,1.4,2,False
7.7,3.0,6.1,2.3,2,False
6.3,3.4,5.6,2.4,2,False
6.4,3.1,5.5,1.8,2,False
6.0,3.0,4.8,1.8,2,False
6.9,3.1,5.4,2.1,2,False
6.7,3.1,5.6,2.4,2,False
6.9,3.1,5.1,2.3,2,False
5.8,2.7,5.1,1.9,2,False
6.8,3.2,5.9,2.3,2,False
6.7,3.3,5.7,2.5,2,False
6.7,3.0,5.2,2.3,2,False
6.3,2.5,5.0,1.9,2,False
6.5,3.0,5.2,2.0,2,False
6.2,3.4,5.4,2.3,2,False
5.9,3.0,5.1,1.8,2,False
5.3235076017465675,3.4,1.585261402619851,0.2,0,True
4.9016769114193215,3.1016769114193212,1.4949692657420366,0.2,0,True
5.513294842700808,3.753323710675202,1.606647421350404,0.253323710675202,0,True
4.614005959326367,3.371988081347264,1.385994040673632,0.28599404067363204,0,True
5.1,3.768030753858778,1.568030753858778,0.26393849228244404,0,True
5.619800299212183,3.9549500748030457,1.2450499251969542,0.2900998503939086,0,True
4.901326496115987,3.5973470077680267,1.4013264961159866,0.10132649611598665,0,True
4.905779824431515,3.6,1.4,0.10577982443151474,0,True
5.287342356430893,3.4,1.531013534646338,0.2,0,True
4.761458349746008,3.322916699492017,1.784375049238025,0.2,0,True
4.4,3.1968067495559573,1.3,0.2,0,True
4.44617876512443,3.24617876512443,1.323089382562215,0.22308938256221492,0,True
5.703589813589595,3.9276923601921965,1.2723076398078035,0.2,0,True
5.0,3.568326351882546,1.3683263518825457,0.23167364811745417,0,True
5.039000334221738,3.560999665778262,1.4,0.23900033422173791,0,True
5.016680508826384,3.466638982347233,1.6166805088263836,0.5833194911736164,0,True
5.1,3.747990603947668,1.4826635346492227,0.3,0,True
5.4,3.517318182271972,1.6217878784853519,0.2,0,True
4.818223608778806,3.1,1.5817763912211937,0.2,0,True
5.075536141031765,3.3244638589682345,1.6755361410317653,0.4755361410317652,0,True
4.785031174898249,3.157484412550876,1.5574844125508756,0.2,0,True
5.420794166286819,3.6584116674263623,1.4584116674263623,0.2,0,True
5.043229967218001,3.556770032781999,1.4,0.2,0,True
5.096868670754444,3.503131329245556,1.4,0.2968686707544441,0,True
4.6,3.1157715225405003,1.4842284774594998,0.2,0,True
5.310049173326047,3.4449754133369765,1.5,0.31004917332604687,0,True
5.039515023600181,3.4395150236001815,1.4604849763998184,0.2,0,True
4.814668226841241,3.0,1.4146682268412412,0.10733411342062059,0,True
4.4,3.1454543991712844,1.3,0.2,0,True
4.932654076880584,3.5673459231194165,1.3673459231194165,0.1653081537611671,0,True
4.9429556025594605,3.6,1.4,0.14295560255946008,0,True
5.147916573997417,3.9437497219922526,1.5520834260025824,0.15208342600258237,0,True
5.0,3.403882797565065,1.49223440486987,0.2038827975650651,0,True
4.96890676973563,3.4,1.6,0.3689067697356303,0,True
5.0747320110137375,3.525267988986262,1.4,0.2,0,True
4.6,3.146030786761092,1.453969213238908,0.2,0,True
5.1,3.441324883433615,1.4586751165663847,0.2413248834336152,0,True
4.803474469273586,3.0034744692735864,1.403474469273586,0.1,0,True
5.060703424768668,3.5,1.478593150462663,0.4178897256939946,0,True
4.8,3.4,1.682799754606763,0.2,0,True
5.470372649429592,4.111117948288776,1.4888820517112247,0.2592547011408165,0,True
5.0,3.4834733060936998,1.5834733060936999,0.533893224374799,0,True
4.901563640674119,3.5984363593258806,1.3984363593258806,0.10312728134823879,0,True
4.627020444211911,2.5963810364944586,1.342340148070637,0.3,0,True
4.660511848182443,3.278976303635114,1.339488151817557,0.23948815181755698,0,True
4.958697634943608,3.5706511825281964,1.4,0.1586976349436076,0,True
4.902815964543017,3.5985920177284916,1.4,0.10281596454301689,0,True
4.88011575959112,3.0801157595911195,1.4801157595911194,0.21988424040888052,0,True
5.042268390549729,3.528865804725135,1.4,0.24226839054972998,0,True
5.320982445946879,3.7,1.5,0.2,0,True
5.976492398253432,3.1235076017465677,4.723507601746567,1.647015203493135,1,True
6.0,2.908384557096606,4.5,1.5016769114193211,1,True
6.340028867974394,2.480057735948788,4.546676289324798,1.5,1,True
6.642017877979104,2.928011918652736,4.642017877979104,1.328011918652736,1,True
5.895907738423666,2.731969246141222,3.931969246141222,1.231969246141222,1,True
5.645049925196954,2.764850224409137,3.554950074803046,1.1648502244091372,1,True
6.302652992231973,2.306632480579933,4.402652992231974,1.3026529922319734,1,True
6.594220175568485,2.8942201755684853,4.6,1.3115596488630294,1,True
6.012657643569108,3.0873423564308924,4.687342356430892,1.5746847128617842,1,True
6.477083300507983,2.9385416502539914,4.338541650253991,1.3385416502539915,1,True
5.8,2.6015966252220215,3.9984033747779786,1.2,1,True
5.75382123487557,2.623089382562215,4.04617876512443,1.2230893825622149,1,True
5.6,2.8035898135895954,3.6723076398078036,1.2517949067947978,1,True
5.636652703765092,2.8049790556476375,4.263347296234908,1.2683263518825458,1,True
5.739000334221738,2.760999665778262,4.1,1.1829989973347863,1,True
6.1,2.966638982347233,4.616680508826383,1.3666389823472327,1,True
5.634672930701554,2.5346729307015545,3.9,1.1173364653507774,1,True
5.939106060757324,3.082681817728028,4.682681817728028,1.6826818177280278,1,True
5.518223608778806,2.4182236087788063,3.818223608778806,1.1,1,True
6.648927717936469,2.8755361410317652,4.648927717936469,1.3244638589682347,1,True
5.742515587449125,2.6425155874491244,3.6700623497964977,1.0850311748982489,1,True
5.103970831434094,2.0831766651472754,3.541588332573638,1.0,1,True
6.829689901654002,3.143229967218001,4.7,1.456770032781999,1,True
5.796868670754444,2.703131329245556,4.1,1.0093939877366676,1,True
6.368456954919,2.9,4.3,1.3,1,True
5.589950826673953,2.489950826673953,3.610049173326047,1.0,1,True
4.9395150236001815,2.241939905599274,3.379030047200363,1.0,1,True
6.507334113420621,2.814668226841241,4.585331773158758,1.4926658865793794,1,True
5.672727199585642,2.927272800414358,4.172727199585642,1.3,1,True
6.202037769358249,2.267345923119416,4.269383692477666,1.2020377693582494,1,True
6.5570443974405395,2.8570443974405397,4.6,1.3859112051189202,1,True
5.8,2.647916573997418,3.952083426002582,1.2,1,True
5.5,2.503882797565065,4.01553119026026,1.296117202434935,1,True
5.73109323026437,3.0,4.2,1.2466398453965546,1,True
6.5747320110137375,2.949464022027476,4.450535977972524,1.4252679889862618,1,True
6.307938426477817,2.9,4.3,1.3,1,True
5.68264976686723,2.5826497668672306,3.98264976686723,1.0586751165663848,1,True
5.489576592179241,2.4104234078207587,3.8034744692735862,1.1104234078207587,1,True
5.303517123843342,2.3607034247686682,3.542813699074674,1.0,1,True
5.844800163595492,2.9448001635954912,4.172400081797746,1.4448001635954912,1,True
6.029627350570408,2.7888820517112247,4.9518632471479584,1.5407452988591837,1,True
5.082633469531501,2.3165266939063,3.382633469531501,1.0165266939063002,1,True
6.295309077977642,2.2984363593258803,4.393745437303523,1.295309077977642,1,True
6.1,2.915319703858726,4.6423401480706366,1.315319703858726,1,True
6.781535544547329,3.021023696364886,4.781535544547329,1.4210236963648861,1,True
6.270651182528196,2.4760929048308227,4.370651182528197,1.3,1,True
6.298592017728492,2.3084478936290505,4.398592017728492,1.3,1,True
5.4397684808177615,2.9403472787733587,4.440347278773358,1.460231519182239,1,True
6.228865804725135,2.7268051716491897,4.328865804725135,1.3,1,True
5.0,2.2370526621593614,3.341964891893759,1.0,1,True
6.8235076017465675,3.238246199126716,5.7,2.2235076017465674,2,True
7.7,2.803353822838642,6.689938531484073,2.0050307342579634,2,True
7.7,2.786705157299192,6.526589685401616,2.3,2,True
6.842017877979104,3.0,5.556023837305472,2.1,2,True
5.736061507717555,2.731969246141222,5.036061507717556,1.931969246141222,2,True
5.8,2.7549500748030455,5.1,2.1747503740152285,2,True
6.4,3.09602051165204,5.501326496115986,1.80397948834796,2,True
6.405779824431515,2.8115596488630294,5.611559648863029,2.2,2,True
6.787342356430893,3.256328821784554,5.7,2.187342356430892,2,True
6.738541650253992,3.2614583497460083,5.777083300507983,2.177083300507983,2,True
5.8,2.7,5.1,1.9,2,True
5.869268147686644,2.769268147686645,5.05382123487557,1.876910617437785,2,True
5.824102546602601,2.8482050932052023,5.1,2.255384720384393,2,True
6.768326351882545,3.0316736481174544,5.531673648117454,2.1950209443523625,2,True
7.39500167110869,3.6780006684434756,6.334002005330428,2.3829989973347865,2,True
6.3,2.533361017652767,4.983319491173616,1.8833194911736164,2,True
5.9653270692984455,2.286682326753886,5.017336465350777,1.5693458614031088,2,True
6.8217878784853525,3.239106060757324,5.7,2.378212121514648,2,True
7.345329173663582,2.8364472175576125,6.063552782442387,1.9364472175576124,2,True
6.275536141031765,2.724463858968235,4.875536141031765,1.8,2,True
7.029937650203502,3.0,5.672453237652626,1.8125779372456226,2,True
6.541588332573638,3.1584116674263623,5.120794166286819,2.0623824988604564,2,True
6.527080131127996,3.3,5.829689901654002,2.5,2,True
7.6843433537722206,3.793737341508888,6.681212024526665,2.209393987736668,2,True
6.5,3.168456954919,5.1157715225405,2.0,2,True
7.810049173326047,3.440196693304187,6.26507375998907,2.1349262400109295,2,True
7.418545070800544,2.9395150236001815,6.418545070800544,1.9185450708005445,2,True
6.829336453682482,3.2,5.907334113420621,2.2633294328968967,2,True
6.145454399171284,2.8545456008287156,4.8,1.8,2,True
6.432654076880584,3.0673459231194165,5.402037769358249,1.865308153761167,2,True
6.4429556025594605,2.88591120511892,5.68591120511892,2.2,2,True
6.4,2.8,5.6,2.147916573997418,2,True
6.796117202434934,3.196117202434935,5.888351607304805,2.303882797565065,2,True
6.315546615132185,2.5310932302643696,5.046639845396554,1.9,2,True
6.4252679889862625,2.8505359779725237,5.650535977972524,2.1252679889862622,2,True
6.5,3.107938426477816,5.1460307867610915,2.0,2,True
7.7,3.3305990674689214,6.347949300601691,2.2586751165663848,2,True
7.103474469273586,3.020846815641517,5.906948938547172,2.113897877094345,2,True
6.739296575231331,3.1392965752313318,5.717889725693994,2.3607034247686682,2,True
6.372400081797746,2.755199836404509,5.382799754606763,1.8724000817977455,2,True
6.3,2.7111179482887753,5.070372649429592,1.6185094022816329,2,True
6.750419918281099,3.1669466121873997,5.8834733060937,2.2834733060936996,2,True
6.401563640674119,3.0984363593258806,5.495309077977642,1.8031272813482389,2,True
6.8576598519293634,3.057659851929363,5.269360592282547,2.215319703858726,2,True
6.981535544547329,3.0,5.742047392729773,2.1,2,True
6.4,2.9826047301127847,5.4413023650563925,1.8293488174718038,2,True
6.4,3.0943680709139665,5.497184035456983,1.8014079822715086,2,True
6.159652721226641,2.6994212020444026,5.580115759591119,1.479536961635522,2,True
6.4,2.81546321890054,5.35773160945027,1.871134195274865,2,True
6.5,3.041964891893759,5.179017554053121,2.0,2,True
