Total Nacional. Datos ajustados de estacionalidad y calendario. Producto interior bruto a precios de mercado. Variación trimestral. Índices de volumen encadenados. ,,,,,
Serie: CNTR6653,,,,,
Periodicidad: Trimestral,,,,,
Unidad: Tasas,,,,,
Escala:  ,,,,,
,DATOS,,,,
,,T1,T2,T3,T4
,2025,0.489,0.7424,0.6434,0.8269
,2024,1.113,0.919,0.765,0.8137
,2023,0.5101,0.144,0.7898,0.7884
,2022,1.5718,1.7012,0.8158,0.536
,2021,1.2018,1.3709,1.9711,2.0315
,2020,-5.1774,-17.7904,15.9023,0.7256
,2019,0.6131,0.2884,0.1916,0.5707
,2018,0.4276,0.652,0.5584,0.5852
,2017,0.708,1.0456,0.6317,0.6088
,2016,0.6948,0.3308,0.7905,0.5684
,2015,1.2174,1.1198,0.9172,0.893
,2014,0.3781,0.54,0.7996,0.9668
,2013,-0.2748,-0.1026,-0.0631,0.1902
,2012,-0.9412,-0.9693,-0.4592,-0.8291
,2011,-0.0786,-0.2588,-0.6102,-0.563
,2010,-0.0892,0.1234,-0.0629,0.1032
,2009,-2.6741,0.0655,0.1971,-0.0243
,2008,0.1871,0.0352,-0.2115,-1.5508
,2007,0.909,0.8776,0.7497,0.6105
,2006,1.1632,0.9,0.944,0.9307
,2005,0.8935,0.8876,0.9575,0.9873
,2004,0.585,1.062,0.8433,0.7097
,2003,0.9639,0.3832,0.7448,0.8385
,2002,0.4727,0.8383,0.5602,0.7808
,2001,1.0153,0.7774,0.9613,0.6363
,2000,1.5794,1.264,1.0198,1.0705
,1999,0.985,1.146,1.3608,1.1103
,1998,0.8421,1.0981,0.9525,1.0428
,1997,0.9973,0.9018,1.1101,1.4046
,1996,0.5746,0.6916,0.8203,0.4975
,1995,,0.6592,0.4428,0.7572
