Date	ActualValue	ForecastValue	PreviousValue
2026.04.01	48.7	50.0	49.2
2026.03.02	49.2		
2026.01.02		51.0	51.5
2025.12.01	51.5	51.3	52.1
2025.11.03	52.1	50.6	51.5
2025.10.01	51.5	54.6	54.3
2025.09.01	54.3	51.8	51.9
2025.08.01	51.9	51.5	51.4
2025.07.01	51.4	49.5	50.5
2025.06.02	50.5	47.8	48.1
2025.05.02	48.1	50.5	49.5
2025.04.01	49.5	50.2	49.7
2025.03.03	49.7	50.0	50.9
2025.02.03	50.9	54.4	53.3
2025.01.02	53.3	52.0	53.1
2024.12.02	53.1	55.3	54.5
2024.11.04	54.5	51.9	53.0
2024.10.01	53.0	49.1	50.5
2024.09.02	50.5	50.7	51.0
2024.08.01	51.0	53.4	52.3
2024.07.01	52.3	53.4	54.0
2024.06.03	54.0	51.2	52.2
2024.05.02	52.2	51.1	51.4
2024.04.02	51.4	52.0	51.5
2024.03.01	51.5	49.5	49.2
2024.02.01	49.2	46.7	46.2
2024.01.02	46.2	45.7	46.3
2023.12.01	46.3	46.4	45.1
2023.11.02	45.1	47.1	47.7
2023.10.02	47.7	47.1	46.5
2023.09.01	46.5	47.9	47.8
2023.08.01	47.8	48.2	48.0
2023.07.03	48.0	48.7	48.4
2023.06.01	48.4	50.1	49.0
2023.05.02	49.0	51.0	51.3
2023.04.03	51.3	49.6	50.7
2023.03.01	50.7	47.4	48.4
2023.02.01	48.4	46.0	46.4
2023.01.02	46.4	45.2	45.7
2022.12.01	45.7	46.8	44.7
2022.11.02	44.7	49.4	49.0
2022.10.03	49.0	49.3	49.9
2022.09.01	49.9	50.6	48.7
2022.08.01	48.7	53.2	52.6
2022.07.01	52.6	53.6	53.8
2022.06.01	53.8	53.8	53.3
2022.05.02	53.3	55.6	54.2
2022.04.01	54.2	56.6	56.9
2022.03.01	56.9	56.3	56.2
2022.02.01	56.2	56.7	56.2
2022.01.03	56.2	57.3	57.1
2021.12.01	57.1	57.8	57.4
2021.11.02	57.4	58.9	58.1
2021.10.01	58.1	59.4	59.5
2021.09.01	59.5	59.8	59.0
2021.08.02	59.0	60.1	60.4
2021.07.01	60.4	58.7	59.4
2021.06.01	59.4	57.4	57.7
2021.05.03	57.7	52.1	56.9
2021.04.01	56.9	48.3	52.9
2021.03.01	52.9	46.2	49.3
2021.02.01	49.3	45.7	51.0
2021.01.04	51.0	49.7	49.8
2020.12.01	49.8	51.0	52.5
2020.11.02	52.5	44.9	50.8
2020.10.01	50.8	44.4	49.9
2020.09.01	49.9	55.7	53.5
2020.08.03	53.5	50.0	49.0
2020.07.01	49.0	32.8	38.3
2020.06.01	38.3	38.1	30.8
2020.05.04	30.8	48.0	45.7
2020.04.01	45.7	49.4	50.4
2020.03.02	50.4	47.9	48.5
2020.02.03	48.5	47.4	47.4
2020.01.02	47.4	47.1	47.5
2019.12.02	47.5	47.2	46.8
2019.11.04	46.8	48.2	47.7
2019.10.01	47.7	48.5	48.8
2019.09.02	48.8	48.0	48.2
2019.08.01	48.2	47.2	47.9
