Date	ActualValue	ForecastValue	PreviousValue
2026.04.07	53.3	54.4	51.9
2026.03.04	51.9		
2026.01.06		55.4	55.6
2025.12.03	55.6	55.7	56.6
2025.11.05	56.6	55.3	54.3
2025.10.03	54.3	54.1	53.2
2025.09.03	53.2	55.3	55.1
2025.08.05	55.1	53.4	51.9
2025.07.03	51.9	53.0	51.3
2025.06.04	51.3	55.7	53.4
2025.05.06	53.4	56.0	54.7
2025.04.03	54.7	56.9	56.2
2025.03.05	56.2	56.0	54.9
2025.02.05	54.9	54.8	57.3
2025.01.06	57.3	53.1	53.1
2024.12.04	53.1	55.1	54.9
2024.11.06	54.9	55.4	57.0
2024.10.03	57.0	53.8	54.6
2024.09.04	54.6	53.9	53.9
2024.08.05	53.9	55.3	56.8
2024.07.03	56.8	55.6	56.9
2024.06.05	56.9	56.4	56.2
2024.05.06	56.2	56.9	56.1
2024.04.04	56.1	56.0	54.7
2024.03.05	54.7	53.2	52.1
2024.02.05	52.1	50.5	51.5
2024.01.04	51.5	51.1	51.0
2023.12.05	51.0	50.8	51.1
2023.11.06	51.1	49.9	50.5
2023.10.04	50.5	51.0	49.3
2023.09.05	49.3	53.1	52.8
2023.08.03	52.8	55.1	53.4
2023.07.05	53.4	57.4	56.7
2023.06.05	56.7	58.7	57.9
2023.05.04	57.9	58.2	59.4
2023.04.05	59.4	54.8	56.7
2023.03.03	56.7	52.2	52.7
2023.02.03	52.7	50.5	51.6
2023.01.04	51.6	50.5	51.2
2022.12.05	51.2	49.1	49.7
2022.11.04	49.7	49.5	48.5
2022.10.05	48.5	52.2	50.6
2022.09.05	50.6	53.9	53.8
2022.08.03	53.8	55.3	54.0
2022.07.05	54.0	56.9	56.5
2022.06.03	56.5	55.3	57.1
2022.05.04	57.1	55.0	53.4
2022.04.05	53.4	51.7	56.6
2022.03.03	56.6	51.2	46.6
2022.02.03	46.6	57.9	55.8
2022.01.05	55.8	58.3	59.8
2021.12.03	59.8	56.8	56.6
2021.11.04	56.6	58.6	56.9
2021.10.05	56.9	61.1	60.1
2021.09.03	60.1	62.4	61.9
2021.08.04	61.9	61.1	62.5
2021.07.05	62.5	57.1	59.4
2021.06.03	59.4	51.4	54.6
2021.05.05	54.6	45.6	48.1
2021.04.07	48.1	42.3	43.1
2021.03.03	43.1	44.8	41.7
2021.02.03	41.7	43.7	48.0
2021.01.06	48.0	40.4	39.5
2020.12.03	39.5	41.8	41.4
2020.11.04	41.4	45.0	42.4
2020.10.05	42.4	49.8	47.7
2020.09.03	47.7	51.1	51.9
2020.08.05	51.9	39.0	50.2
2020.07.03	50.2	53.6	27.9
2020.06.03	27.9	244.7	7.1
2020.05.06	7.1	12.0	23.0
2020.04.03	23.0	52.9	52.1
2020.03.04	52.1	50.8	52.3
2020.02.05	52.3	55.4	54.9
2020.01.06	54.9	53.8	53.2
2019.12.04	53.2	51.6	52.7
2019.11.06	52.7	55.3	53.3
2019.10.03	53.3	55.0	54.3
2019.09.04	54.3	52.5	52.9
2019.08.05	52.9	52.3	53.6
2019.07.03	53.6	51.3	52.8
2019.06.05	52.8	51.0	53.1
2019.05.06	53.1	59.2	56.8
2019.04.03	56.8	54.6	54.5
2019.03.05	54.5	54.8	54.7
2019.02.05	54.7	55.3	54.0
2019.01.04	54.0		54.0
2018.12.05	54.0		54.0
2018.11.06	54.0		52.5
2018.10.03	52.5		52.7
2018.09.05	52.7		52.6
2018.08.03	52.6		55.4
2018.07.04	55.4		56.4
2018.06.05	56.4		55.6
2018.05.04	55.6		56.2
2018.04.05	56.2		57.3
2018.03.05	57.3		56.9
2018.02.05	56.9		54.6
2018.01.04	54.6		54.4
2017.12.05	54.4		54.6
2017.11.06	54.6		56.7
2017.10.04	56.7		56.0
2017.09.05	56.0		57.6
2017.08.03	57.6		58.3
2017.07.05	58.3		57.3
2017.06.05	57.3		57.8
2017.05.04	57.8		57.4
2017.04.05	57.4		57.0
2017.03.03	57.0		54.2
2017.02.03	54.2		55.0
2017.01.04	55.0		55.1
2016.12.05	55.1		54.6
2016.11.04	54.6		54.7
2016.10.05	54.7		56.0
2016.09.05	56.0		54.1
2016.08.03	54.1		56.0
2016.07.05	56.0		55.4
2016.06.03	55.4		55.1
2016.05.04	55.1		55.3
2016.04.05	55.3		54.1
2016.03.03	54.1		54.6
2016.02.03	54.6		55.1
2016.01.06	55.1		56.7
2015.12.03	56.7		55.9
2015.11.04	55.9		54.6
2015.10.05	54.6		59.6
2015.09.03	59.6		59.7
2015.08.05	59.7		56.1
2015.07.03	56.1		58.4
2015.06.03	58.4		60.3
2015.05.06	60.3		57.3
2015.04.07	57.3		56.2
2015.03.04	56.2		56.7
2015.02.04	56.7		54.3
2015.01.06	54.3		52.7
2014.12.03	52.7		55.9
2014.11.05	55.9		55.8
2014.10.03	55.8		58.1
2014.09.03	58.1		56.2
2014.08.05	56.2		54.8
2014.07.03	54.8		55.7
2014.06.04	55.7		56.5
2014.05.06	56.5		54.0
2014.04.03	54.0		53.7
2014.03.05	53.7		54.9
2014.02.05	54.9		54.2
2014.01.06	54.2		51.5
2013.12.04	51.5		49.6
2013.11.06	49.6		49.0
2013.10.03	49.0		50.4
2013.09.04	50.4		48.5
2013.08.05	48.5		47.8
2013.07.03	47.8		47.3
2013.06.05	47.3		44.4
2013.05.06	44.4		45.3
2013.04.04	45.3		44.7
2013.03.05	44.7		47.0
2013.02.05	47.0		44.3
2013.01.04	44.3		42.4
2012.12.05	42.4		41.2
2012.11.06	41.2		40.2
2012.10.03	40.2		44.0
2012.09.05	44.0		43.7
2012.08.03	43.7		43.4
2012.07.04	43.4		41.8
2012.06.05	41.8		42.1
2012.05.04	42.1		46.3
2012.04.04	46.3		41.9
2012.03.05	41.9		46.1
2012.02.03	46.1		42.1
2012.01.04	42.1		36.8
2011.12.05	36.8		41.8
2011.11.04	41.8		44.8
2011.10.05	44.8		45.2
2011.09.05	45.2		46.5
2011.08.03	46.5		50.2
2011.07.05	50.2		50.9
2011.06.03	50.9		50.4
2011.05.04	50.4		
